Predictor variable,Categorical,Sample average
depth,false,-3318.2349747017333
di_2500m,false,87.49007846541768
di_Tren,false,1252.4259808098466
di_Trough,false,1037.4040891515892
di_coast,false,285.782829493022
di_guy,false,667.7837135695205
di_seaM,false,127.03138613665908
di_spRid,false,596.0147752393026
slope,false,4.226250165434352
