"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","proc_auc_ratio.avg","proc_auc_ratio.sd","proc_pval.avg","proc_pval.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.66161853527801,0.885,0.066489095273811,0.0506319438509995,0.64187413856877,0.0714552224111287,0.495,0.283761637059463,0.161879393549606,0.113185727792456,0.0190162271805274,0.0277549106060785,1.98546999890589,0.0132604094281379,0,0,3457.82288289125,0,0.999999999999641,5
"2","Q","1","fc.Q_rm.1",0.619962064567918,0.937,0.0389501455199692,0.070464263985284,0.585551825249208,0.0522474268917112,0.47575,0.381371538004608,0.220660196183374,0.130349753139232,0.0156739811912226,0.0214529416589841,1.99260066788531,0.00497890329292179,0,0,3515.1348526474,57.3119697561515,3.58809467654909e-13,5
