"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","proc_auc_ratio.avg","proc_auc_ratio.sd","proc_pval.avg","proc_pval.sd","AICc","delta.AICc","w.AIC","ncoef","type"
"1","L","1","fc.L_rm.1",0.673256935504757,0.875,0.0475692979147451,0.0278565271269495,0.653690249742272,0.0447450163677913,0.73525,0.188807441590632,0.109050967145803,0.0864105152893715,0.0122950819672131,0.0245901639344262,1.98331524177726,0.00595828374072286,0,0,4757.17528654038,0,0.99999999517085,5,"Historical"
"2","L","1","fc.L_rm.1",0.66161853527801,0.885,0.066489095273811,0.0506319438509995,0.64187413856877,0.0714552224111287,0.495,0.283761637059463,0.161879393549606,0.113185727792456,0.0190162271805274,0.0277549106060785,1.98546999890589,0.0132604094281379,0,0,3457.82288289125,0,0.999999999999641,5,"Modern"
