"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","proc_auc_ratio.avg","proc_auc_ratio.sd","proc_pval.avg","proc_pval.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.660938491262472,0.771,0.0241168174167581,0.0130783243940369,0.650836825231499,0.0233894791908804,0.63675,0.102255806681088,0.111331694840098,0.0384533989955386,0.00337837837837838,0.00675675675675676,2.05790440730131,0.0862914388563041,0,0,4728.46880314877,0,0.999999999821686,5
"2","Q","1","fc.Q_rm.1",0.636554155372282,-0.051,0.017025228876267,0.0194228407850944,0.622772638420898,0.0220840061234521,0.08,0.126367189834492,0.121654517662921,0.0293877542566826,0,0,1.98904050034976,0.0155586691617175,0,0,4773.36374750802,44.8949443592555,1.7831451621736e-10,4
