"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","proc_auc_ratio.avg","proc_auc_ratio.sd","proc_pval.avg","proc_pval.sd","AICc","delta.AICc","w.AIC","ncoef","type"
"1","Q","1","fc.Q_rm.1",0.665149499915952,NA,0.0170752049650178,0.0188834179334891,0.65821589944099,0.0182707677004932,NA,NA,0.114441222189991,0.0760327028489333,0.00235849056603774,0.00471698113207547,1.96646190357805,0.0190145239733733,0,0,10796.3044740078,74.5502650989074,6.48060604494273e-17,5,"Historical"
"2","L","1","fc.L_rm.1",0.661640221915804,NA,0.0646638492312787,0.0509414796658324,0.641478207003207,0.0700513352230184,NA,NA,0.161879393549606,0.113185727792456,0.0190162271805274,0.0277549106060785,1.9883190205965,0.0162438019660586,0,0,3458.27708726222,0,0.999999999999327,5,"Modern"
