"Lon","Lat","origin"
40.35,-6.83,"no_sperm_whale_sighting"
82.8,-40.2,"no_encounter"
41.28,-6.83,"no_encounter"
43,-15.91,"no_sperm_whale_sighting"
41.56,-4.93,"no_sperm_whale_sighting"
55.11,-38.73,"no_encounter"
43,-8.56,"no_sperm_whale_sighting"
45.6,-26.03,"no_encounter"
51.26,-26.46,"no_sperm_whale_sighting"
55.55,-24.08,"no_encounter"
42.98,-12.5,"no_sperm_whale_sighting"
55.77,-36.48,"no_encounter"
50.71,-23.95,"no_encounter"
65.45,-37,"no_encounter"
35,-37.21,"no_sperm_whale_sighting"
50.78,-38.5,"no_sperm_whale_sighting"
30.3,-32.45,"no_encounter"
30.58,-37.03,"no_sperm_whale_sighting"
34.83,-38.91,"no_sperm_whale_sighting"
48.83,-1.08,"no_encounter"
66,-35,"no_sperm_whale_sighting"
39.85,-22.85,"no_sperm_whale_sighting"
62,-34.91,"no_encounter"
54.91,-19.56,"no_encounter"
38.41,-24.65,"no_encounter"
61.63,-34.8,"no_encounter"
42,-2.41,"no_sperm_whale_sighting"
43.66,-39.33,"no_sperm_whale_sighting"
51.45,-30.98,"no_sperm_whale_sighting"
45.66,-10.75,"no_encounter"
61.38,-33.7,"no_sperm_whale_sighting"
51.23,-16.01,"no_sperm_whale_sighting"
46.1,-7.56,"no_sperm_whale_sighting"
71.25,-34.31,"no_encounter"
44.86,-4.5,"no_encounter"
83.88,-37.78,"no_sperm_whale_sighting"
39.66,-24,"no_sperm_whale_sighting"
66.23,-35.58,"no_encounter"
41.33,-5.78,"no_sperm_whale_sighting"
43,-38.8,"no_sperm_whale_sighting"
28.11,-38.66,"no_encounter"
43.44,-12.72,"no_sperm_whale_sighting"
51.66,-9.16,"no_sperm_whale_sighting"
42.86,-23.76,"no_encounter"
74.5,-38.6,"no_sperm_whale_sighting"
54.2,-35.9,"no_sperm_whale_sighting"
78.33,-38.63,"no_sperm_whale_sighting"
43.41,-33.5,"no_sperm_whale_sighting"
42.33,-15.8,"no_sperm_whale_sighting"
47.25,-39.9,"no_encounter"
62.18,-37.35,"no_sperm_whale_sighting"
50.63,-17,"no_sperm_whale_sighting"
49.23,-28.96,"no_sperm_whale_sighting"
57.46,-20.26,"no_sperm_whale_sighting"
80.36,-38.7,"no_encounter"
37.5,-30,"no_encounter"
72.5,-26.38,"no_encounter"
70.95,-34.18,"no_sperm_whale_sighting"
69.85,-33.6,"no_sperm_whale_sighting"
76.8,-35.66,"no_sperm_whale_sighting"
74.33,-35.91,"no_sperm_whale_sighting"
43.3,-3.96,"no_encounter"
68.61,-37.35,"no_encounter"
40.15,-24.41,"no_encounter"
79.4,-36.76,"no_encounter"
45.25,-31.23,"no_sperm_whale_sighting"
44.58,-26.43,"no_encounter"
53.26,-35.71,"no_sperm_whale_sighting"
82.26,-38.38,"no_sperm_whale_sighting"
30.51,-38.76,"no_sperm_whale_sighting"
34.75,-38.31,"no_encounter"
42.66,-25.33,"no_sperm_whale_sighting"
56.66,-4.33,"no_sperm_whale_sighting"
42.93,-11.41,"no_sperm_whale_sighting"
54.16,-10.08,"no_encounter"
63.95,-35.45,"no_encounter"
63.4,-21.83,"no_sperm_whale_sighting"
27.5,-38.11,"no_sperm_whale_sighting"
36.13,-27.6,"no_sperm_whale_sighting"
48.23,-26.28,"no_sperm_whale_sighting"
43.41,-25.43,"no_sperm_whale_sighting"
42.66,-24.7,"no_sperm_whale_sighting"
59.91,-36,"no_encounter"
55.31,-3.65,"no_sperm_whale_sighting"
43,-5.08,"no_encounter"
44.25,-8.25,"no_sperm_whale_sighting"
75.35,5.88,"no_sperm_whale_sighting"
37.35,-23.46,"no_sperm_whale_sighting"
53.7,-4.55,"no_encounter"
62.25,-33.2,"no_sperm_whale_sighting"
58.73,-36.05,"no_sperm_whale_sighting"
43.21,-23.4,"no_encounter"
37,-37.36,"no_sperm_whale_sighting"
47.93,-37.41,"no_encounter"
41.28,-30.53,"no_encounter"
58.65,-39.28,"no_encounter"
76.78,-36.98,"no_sperm_whale_sighting"
34.75,-36.28,"no_encounter"
44.2,-10.66,"no_sperm_whale_sighting"
80,-34.2,"no_encounter"
44.16,-10.4,"no_encounter"
51.38,-19.74,"no_encounter"
33.75,-26.41,"no_sperm_whale_sighting"
55.41,5.28,"no_encounter"
68.33,-34.73,"no_encounter"
64.11,-35.3,"no_encounter"
29.88,-35.26,"no_sperm_whale_sighting"
53.31,-4.6,"no_sperm_whale_sighting"
46.93,-40.03,"no_encounter"
76,-39.71,"no_encounter"
42.5,-23.83,"no_encounter"
39.33,-38.78,"no_encounter"
32.45,-26,"no_sperm_whale_sighting"
40.83,-25.53,"no_sperm_whale_sighting"
64.95,-36.38,"no_sperm_whale_sighting"
70.58,-33.41,"no_sperm_whale_sighting"
79.66,-39.33,"no_encounter"
57.46,-20.26,"no_encounter"
42.26,-3.61,"no_sperm_whale_sighting"
83.56,-34.25,"no_sperm_whale_sighting"
41.83,-23.58,"no_sperm_whale_sighting"
72.48,-37.65,"no_encounter"
67.5,-37.46,"no_sperm_whale_sighting"
44.23,-14.14,"no_sperm_whale_sighting"
82,-36.61,"no_sperm_whale_sighting"
33.01,-38.7,"no_encounter"
58.05,-36.51,"no_sperm_whale_sighting"
32.71,-36.3,"no_sperm_whale_sighting"
51.01,-31.23,"no_sperm_whale_sighting"
74.21,-34.51,"no_sperm_whale_sighting"
70.58,-33.41,"no_encounter"
38.8,-32.9,"no_encounter"
47.66,-25.06,"no_encounter"
77.91,-37.78,"no_encounter"
36.18,-26.16,"no_sperm_whale_sighting"
48,-25.15,"no_sperm_whale_sighting"
57.43,0.63,"no_encounter"
68.16,-33.33,"no_encounter"
75.83,-31.23,"no_encounter"
42.78,-16.8,"no_sperm_whale_sighting"
55.36,6.96,"no_sperm_whale_sighting"
67.8,-0.5,"no_encounter"
41.1,-26.58,"no_encounter"
43.08,-12,"no_encounter"
27.71,-34.23,"no_encounter"
57.58,-35.36,"no_encounter"
54.43,3.26,"no_encounter"
77.36,-39.9,"no_encounter"
54.26,-4.05,"no_encounter"
61,-36.43,"no_encounter"
72.25,-8.33,"no_encounter"
41.96,-6.48,"no_sperm_whale_sighting"
74,-35.16,"no_encounter"
66.83,-33.4,"no_encounter"
50.07,-35.32,"no_sperm_whale_sighting"
77.53,-36.18,"no_encounter"
61.83,-35.41,"no_sperm_whale_sighting"
73.66,-32.8,"no_sperm_whale_sighting"
39.21,-21.9,"no_sperm_whale_sighting"
45.08,-31.96,"no_sperm_whale_sighting"
39.85,-34.01,"no_encounter"
48.73,-24.7,"no_encounter"
51,-1.93,"no_encounter"
48,-30.53,"no_encounter"
69.66,-34.35,"no_sperm_whale_sighting"
36,-25.83,"no_sperm_whale_sighting"
67.86,-37.5,"no_encounter"
73.5,-33.95,"no_sperm_whale_sighting"
73,-5.6,"no_encounter"
55.18,-20.75,"no_sperm_whale_sighting"
37,-26.08,"no_encounter"
35.98,-30.75,"no_sperm_whale_sighting"
70,-38.51,"no_sperm_whale_sighting"
77.45,-34.83,"no_sperm_whale_sighting"
53.5,-4.66,"no_sperm_whale_sighting"
39.98,-5.46,"no_sperm_whale_sighting"
72.75,-32.91,"no_encounter"
72.9,-38.65,"no_encounter"
48,-23.3,"no_encounter"
73.5,-34.83,"no_encounter"
59.66,-36.26,"no_sperm_whale_sighting"
43.76,-37.46,"no_sperm_whale_sighting"
39.15,-26.5,"no_encounter"
58.51,-25.11,"no_encounter"
77.76,-38.6,"no_encounter"
76.45,6.86,"no_sperm_whale_sighting"
46.25,-14.56,"no_encounter"
46.33,-37.28,"no_sperm_whale_sighting"
38.4,-37.16,"no_encounter"
69.36,-39.88,"no_encounter"
38.25,-23.2,"no_sperm_whale_sighting"
49.2,-26.75,"no_sperm_whale_sighting"
34.11,-26.21,"no_sperm_whale_sighting"
77.56,-37.85,"no_sperm_whale_sighting"
39.5,-34.63,"no_encounter"
