"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","proc_auc_ratio.avg","proc_auc_ratio.sd","proc_pval.avg","proc_pval.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.654292978770639,0.855,0.0175850778044789,0.0198027193843599,0.646567876479373,0.0188040623124228,0.846,0.0408003267960768,0.111391079508727,0.0319394062342339,0.00162337662337662,0.00324675324675325,1.96015577629702,0.00983148636024987,0,0,11480.7305108018,0,1,5
"2","Q","1","fc.Q_rm.1",0.634359690364662,0.253,0.0303776549332356,0.00460304689462823,0.613286159120708,0.0323594937228268,0.39725,0.110536193167668,0.11259530665413,0.0408348430661158,0.00192307692307692,0.00384615384615385,1.96055763681683,0.0103837997905065,0,0,11572.1734184939,91.4429076921206,1.39131315056705e-20,4
