"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","proc_auc_ratio.avg","proc_auc_ratio.sd","proc_pval.avg","proc_pval.sd","AICc","delta.AICc","w.AIC","ncoef","type"
"1","L","1","fc.L_rm.1",0.654292978770639,0.855,0.0175850778044789,0.0198027193843599,0.646567876479373,0.0188040623124228,0.846,0.0408003267960768,0.111391079508727,0.0319394062342339,0.00162337662337662,0.00324675324675325,1.96015577629702,0.00983148636024987,0,0,11480.7305108018,0,1,5,"Historical"
"2","L","1","fc.L_rm.1",0.66161853527801,0.885,0.066489095273811,0.0506319438509995,0.64187413856877,0.0714552224111287,0.495,0.283761637059463,0.161879393549606,0.113185727792456,0.0190162271805274,0.0277549106060785,1.98546999890589,0.0132604094281379,0,0,3457.82288289125,0,0.999999999999641,5,"Modern"
