"","name","value","type"
"1","depth",-7.88705310348977e-05,"Historical"
"2","slope",-0.0418302982679371,"Historical"
"3","di_1000m",-0.00316165775542601,"Historical"
"4","di_seaM",-7.01473177548815e-05,"Historical"
"5","di_spRid",-7.96974013725245e-05,"Historical"
"6","depth",-0.000181440251594786,"Modern"
"7","slope",0.0925801931994001,"Modern"
"8","di_1000m",-0.00102952072018944,"Modern"
"9","di_seaM",-0.000720848753890008,"Modern"
"10","di_spRid",0.00060915899228887,"Modern"
